Quarter,Month,Week,Product Type,Territory,Sales Channel,Customer Type,Revenue,Cost
Q3/2011,11-Aug,W36-2011,Office Supplies,North America,Internet,Retail,23616,13037
Q3/2011,11-Aug,W36-2011,Portable Electronics,North America,Direct,Entertainment Venues,41257,24339
Q3/2011,11-Sep,W36-2011,Computers & Tablets,North America,Direct,Entertainment Venues,5744,5353
Q3/2011,11-Sep,W36-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,77475,61799
Q3/2011,11-Sep,W36-2011,Cameras,North America,Internet,Entertainment Venues,5943,3651
Q3/2011,11-Sep,W36-2011,Mobile,North America,Retail,Retail,14813,26939
Q3/2011,11-Sep,W36-2011,Office Supplies,North America,Direct,Entertainment Venues,210,66
Q3/2011,11-Sep,W36-2011,Portable Electronics,North America,Internet,Entertainment Venues,6117,2483
Q3/2011,11-Sep,W36-2011,Portable Electronics,North America,Retail,Retail,61694,108881
Q3/2011,11-Sep,W37-2011,Computers & Tablets,North America,Direct,Retail,60752,104247
Q3/2011,11-Sep,W37-2011,Computers & Tablets,North America,Internet,Branded Stores,29414,16592
Q3/2011,11-Sep,W37-2011,TV & Home Theatre,North America,Internet,Retail,155264,138063
Q3/2011,11-Sep,W37-2011,TV & Home Theatre,North America,Retail,Retail,48086,85896
Q3/2011,11-Sep,W37-2011,Cameras,North America,Direct,Retail,1839,1799
Q3/2011,11-Sep,W37-2011,Cameras,North America,Internet,Retail,12208,15449
Q3/2011,11-Sep,W37-2011,Mobile,North America,Direct,Entertainment Venues,8704,5608
Q3/2011,11-Sep,W37-2011,Mobile,North America,Direct,Retail,3273,3568
Q3/2011,11-Sep,W37-2011,Mobile,North America,Internet,Retail,4011,2813
Q3/2011,11-Sep,W37-2011,Office Supplies,North America,Direct,Entertainment Venues,3222,1010
Q3/2011,11-Sep,W37-2011,Office Supplies,North America,Retail,Retail,50665,51640
Q3/2011,11-Sep,W37-2011,Repairs,North America,Retail,Entertainment Venues,20033,10979
Q3/2011,11-Sep,W37-2011,Portable Electronics,North America,Direct,Retail,6174,4429
Q3/2011,11-Sep,W37-2011,Portable Electronics,North America,Direct,Internet Direct,31059,10014
Q3/2011,11-Sep,W37-2011,Portable Electronics,North America,Internet,Entertainment Venues,26402,13703
Q3/2011,11-Sep,W37-2011,Portable Electronics,North America,Retail,Entertainment Venues,8680,4258
Q3/2011,11-Sep,W38-2011,Computers & Tablets,North America,Direct,Retail,41267,77986
Q3/2011,11-Sep,W38-2011,Computers & Tablets,North America,Retail,Retail,10589,17636
Q3/2011,11-Sep,W38-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,56150,29799
Q3/2011,11-Sep,W38-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,13744,14863
Q3/2011,11-Sep,W38-2011,Cameras,North America,Direct,Entertainment Venues,339,233
Q3/2011,11-Sep,W38-2011,Cameras,North America,Direct,Retail,49828,59673
Q3/2011,11-Sep,W38-2011,Cameras,North America,Retail,Retail,1011,2223
Q3/2011,11-Sep,W38-2011,Mobile,North America,Direct,Branded Stores,34057,27650
Q3/2011,11-Sep,W38-2011,Mobile,North America,Direct,Retail,3844,4945
Q3/2011,11-Sep,W38-2011,Mobile,North America,Internet,Entertainment Venues,1422,698
Q3/2011,11-Sep,W38-2011,Mobile,North America,Retail,Entertainment Venues,10541,11009
Q3/2011,11-Sep,W38-2011,Office Supplies,North America,Direct,Entertainment Venues,586,175
Q3/2011,11-Sep,W38-2011,Office Supplies,North America,Internet,Entertainment Venues,2649,908
Q3/2011,11-Sep,W38-2011,Office Supplies,North America,Internet,Branded Stores,5165,1763
Q3/2011,11-Sep,W38-2011,Office Supplies,North America,Internet,Retail,68287,43669
Q3/2011,11-Sep,W38-2011,Repairs,North America,Direct,Retail,23401,15040
Q3/2011,11-Sep,W38-2011,Repairs,North America,Internet,Entertainment Venues,7359,1611
Q3/2011,11-Sep,W38-2011,Portable Electronics,North America,Direct,Retail,68201,68998
Q3/2011,11-Sep,W38-2011,Portable Electronics,North America,Internet,Entertainment Venues,17690,6192
Q3/2011,11-Sep,W38-2011,Portable Electronics,North America,Internet,Internet Direct,91056,20178
Q3/2011,11-Sep,W38-2011,Portable Electronics,North America,Retail,Entertainment Venues,33540,22563
Q3/2011,11-Sep,W39-2011,Computers & Tablets,North America,Direct,Entertainment Venues,534,751
Q3/2011,11-Sep,W39-2011,Computers & Tablets,North America,Direct,Internet Direct,13790,7168
Q3/2011,11-Sep,W39-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,8403,5031
Q3/2011,11-Sep,W39-2011,TV & Home Theatre,North America,Retail,Retail,249695,287996
Q3/2011,11-Sep,W39-2011,Cameras,North America,Direct,Entertainment Venues,18593,14537
Q3/2011,11-Sep,W39-2011,Cameras,North America,Direct,Internet Direct,140557,72049
Q3/2011,11-Sep,W39-2011,Cameras,North America,Internet,Entertainment Venues,141,88
Q3/2011,11-Sep,W39-2011,Cameras,North America,Retail,Entertainment Venues,10494,11849
Q3/2011,11-Sep,W39-2011,Mobile,North America,Direct,Entertainment Venues,27209,17134
Q3/2011,11-Sep,W39-2011,Mobile,North America,Direct,Retail,30037,29364
Q3/2011,11-Sep,W39-2011,Mobile,North America,Direct,Internet Direct,1672,699
Q3/2011,11-Sep,W39-2011,Mobile,North America,Internet,Retail,1812,1957
Q3/2011,11-Sep,W39-2011,Mobile,North America,Retail,Retail,5989,10020
Q3/2011,11-Sep,W39-2011,Office Supplies,North America,Direct,Retail,21355,13811
Q3/2011,11-Sep,W39-2011,Office Supplies,North America,Direct,Internet Direct,34681,10436
Q3/2011,11-Sep,W39-2011,Office Supplies,North America,Retail,Entertainment Venues,2078,1348
Q3/2011,11-Sep,W39-2011,Repairs,North America,Direct,Retail,46022,23685
Q3/2011,11-Sep,W39-2011,Portable Electronics,North America,Direct,Entertainment Venues,3144,1522
Q3/2011,11-Sep,W40-2011,Computers & Tablets,North America,Direct,Entertainment Venues,5873,3990
Q3/2011,11-Sep,W40-2011,Computers & Tablets,North America,Retail,Entertainment Venues,12625,13824
Q3/2011,11-Sep,W40-2011,Computers & Tablets,North America,Retail,Retail,25731,40329
Q3/2011,11-Sep,W40-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,1577,1279
Q3/2011,11-Sep,W40-2011,Cameras,North America,Direct,Entertainment Venues,7012,6829
Q3/2011,11-Sep,W40-2011,Cameras,North America,Internet,Entertainment Venues,1218,590
Q3/2011,11-Sep,W40-2011,Cameras,North America,Retail,Retail,17289,42156
Q3/2011,11-Sep,W40-2011,Mobile,North America,Direct,Entertainment Venues,13473,5386
Q3/2011,11-Sep,W40-2011,Mobile,North America,Direct,Retail,2287,2146
Q3/2011,11-Sep,W40-2011,Mobile,North America,Internet,Internet Direct,24777,6720
Q3/2011,11-Sep,W40-2011,Mobile,North America,Retail,Retail,1633,1926
Q3/2011,11-Sep,W40-2011,Office Supplies,North America,Direct,Entertainment Venues,13754,4017
Q3/2011,11-Sep,W40-2011,Office Supplies,North America,Internet,Entertainment Venues,16976,4432
Q3/2011,11-Sep,W40-2011,Office Supplies,North America,Retail,Entertainment Venues,153,92
Q3/2011,11-Sep,W40-2011,Repairs,North America,Direct,Entertainment Venues,10679,3057
Q3/2011,11-Sep,W40-2011,Portable Electronics,North America,Direct,Entertainment Venues,10594,4935
Q3/2011,11-Sep,W40-2011,Portable Electronics,North America,Internet,Retail,20101,13565
Q3/2011,11-Sep,W40-2011,Portable Electronics,North America,Retail,Entertainment Venues,10616,8991
Q4/2011,11-Oct,W40-2011,Cameras,North America,Direct,Entertainment Venues,1109,845
Q4/2011,11-Oct,W40-2011,Mobile,North America,Direct,Retail,7360,10164
Q4/2011,11-Oct,W40-2011,Mobile,North America,Direct,Internet Direct,25906,12576
Q4/2011,11-Oct,W40-2011,Mobile,North America,Retail,Branded Stores,13669,15289
Q4/2011,11-Oct,W40-2011,Office Supplies,North America,Direct,Entertainment Venues,1548,647
Q4/2011,11-Oct,W40-2011,Portable Electronics,North America,Internet,Entertainment Venues,23371,14649
Q4/2011,11-Oct,W40-2011,Portable Electronics,North America,Retail,Retail,6854,7503
Q4/2011,11-Oct,W41-2011,Computers & Tablets,North America,Internet,Entertainment Venues,8795,5484
Q4/2011,11-Oct,W41-2011,Computers & Tablets,North America,Retail,Entertainment Venues,94298,100708
Q4/2011,11-Oct,W41-2011,Computers & Tablets,North America,Retail,Retail,115995,142598
Q4/2011,11-Oct,W41-2011,TV & Home Theatre,North America,Direct,Branded Stores,12040,8722
Q4/2011,11-Oct,W41-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,1233,581
Q4/2011,11-Oct,W41-2011,TV & Home Theatre,North America,Retail,Branded Stores,15234,14351
Q4/2011,11-Oct,W41-2011,Cameras,North America,Internet,Entertainment Venues,42661,23343
Q4/2011,11-Oct,W41-2011,Mobile,North America,Direct,Entertainment Venues,9554,4077
Q4/2011,11-Oct,W41-2011,Mobile,North America,Internet,Entertainment Venues,6231,3417
Q4/2011,11-Oct,W41-2011,Mobile,North America,Internet,Branded Stores,4634,3081
Q4/2011,11-Oct,W41-2011,Mobile,North America,Retail,Entertainment Venues,841,568
Q4/2011,11-Oct,W41-2011,Mobile,North America,Retail,Internet Direct,168468,66779
Q4/2011,11-Oct,W41-2011,Office Supplies,North America,Internet,Entertainment Venues,537,171
Q4/2011,11-Oct,W41-2011,Office Supplies,North America,Internet,Retail,7286,5314
Q4/2011,11-Oct,W41-2011,Portable Electronics,North America,Direct,Entertainment Venues,17179,12800
Q4/2011,11-Oct,W41-2011,Portable Electronics,North America,Internet,Entertainment Venues,7682,3326
Q4/2011,11-Oct,W41-2011,Portable Electronics,North America,Internet,Retail,29429,17914
Q4/2011,11-Oct,W41-2011,Portable Electronics,North America,Retail,Entertainment Venues,7379,7816
Q4/2011,11-Oct,W42-2011,Computers & Tablets,North America,Internet,Entertainment Venues,30501,20069
Q4/2011,11-Oct,W42-2011,Computers & Tablets,North America,Internet,Retail,83580,85118
Q4/2011,11-Oct,W42-2011,TV & Home Theatre,North America,Direct,Retail,34059,38853
Q4/2011,11-Oct,W42-2011,Cameras,North America,Direct,Branded Stores,150684,149345
Q4/2011,11-Oct,W42-2011,Cameras,North America,Internet,Entertainment Venues,319,144
Q4/2011,11-Oct,W42-2011,Mobile,North America,Direct,Retail,18719,19750
Q4/2011,11-Oct,W42-2011,Office Supplies,North America,Direct,Retail,6027,3621
Q4/2011,11-Oct,W42-2011,Portable Electronics,North America,Direct,Entertainment Venues,1155,590
Q4/2011,11-Oct,W42-2011,Portable Electronics,North America,Direct,Branded Stores,11098,7991
Q4/2011,11-Oct,W42-2011,Portable Electronics,North America,Internet,Retail,10462,12047
Q4/2011,11-Oct,W42-2011,Portable Electronics,North America,Retail,Entertainment Venues,614,683
Q4/2011,11-Oct,W43-2011,Computers & Tablets,North America,Direct,Entertainment Venues,479,647
Q4/2011,11-Oct,W43-2011,TV & Home Theatre,North America,Direct,Retail,24441,34548
Q4/2011,11-Oct,W43-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,9708,4909
Q4/2011,11-Oct,W43-2011,Cameras,North America,Direct,Branded Stores,6020,7042
Q4/2011,11-Oct,W43-2011,Cameras,North America,Direct,Retail,23378,33262
Q4/2011,11-Oct,W43-2011,Cameras,North America,Internet,Entertainment Venues,1626,1036
Q4/2011,11-Oct,W43-2011,Mobile,North America,Direct,Retail,2404,3113
Q4/2011,11-Oct,W43-2011,Mobile,North America,Retail,Entertainment Venues,4334,3184
Q4/2011,11-Oct,W43-2011,Office Supplies,North America,Direct,Entertainment Venues,6837,2059
Q4/2011,11-Oct,W43-2011,Office Supplies,North America,Internet,Retail,91332,55928
Q4/2011,11-Oct,W43-2011,Office Supplies,North America,Retail,Retail,61545,79929
Q4/2011,11-Oct,W43-2011,Portable Electronics,North America,Internet,Retail,39806,37471
Q4/2011,11-Oct,W43-2011,Portable Electronics,North America,Retail,Entertainment Venues,9504,5421
Q4/2011,11-Oct,W44-2011,Computers & Tablets,North America,Direct,Entertainment Venues,1153,1299
Q4/2011,11-Oct,W44-2011,Computers & Tablets,North America,Retail,Entertainment Venues,6952,5046
Q4/2011,11-Oct,W44-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,2148,1170
Q4/2011,11-Oct,W44-2011,TV & Home Theatre,North America,Direct,Branded Stores,8791,9586
Q4/2011,11-Oct,W44-2011,TV & Home Theatre,North America,Direct,Retail,123321,156837
Q4/2011,11-Oct,W44-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,706,779
Q4/2011,11-Oct,W44-2011,Cameras,North America,Internet,Entertainment Venues,20806,13364
Q4/2011,11-Oct,W44-2011,Mobile,North America,Direct,Retail,70621,90312
Q4/2011,11-Oct,W44-2011,Office Supplies,North America,Direct,Retail,37202,24244
Q4/2011,11-Oct,W44-2011,Office Supplies,North America,Internet,Entertainment Venues,19088,7817
Q4/2011,11-Oct,W44-2011,Office Supplies,North America,Retail,Entertainment Venues,4340,2552
Q4/2011,11-Oct,W44-2011,Portable Electronics,North America,Direct,Retail,25656,22169
Q4/2011,11-Oct,W44-2011,Portable Electronics,North America,Internet,Entertainment Venues,1050,405
Q4/2011,11-Oct,W45-2011,Repairs,North America,Direct,Retail,31600,17743
Q4/2011,11-Oct,W45-2011,Repairs,North America,Internet,Retail,83765,47894
Q4/2011,11-Nov,W45-2011,Computers & Tablets,North America,Direct,Entertainment Venues,13577,16368
Q4/2011,11-Nov,W45-2011,Computers & Tablets,North America,Direct,Retail,41765,90421
Q4/2011,11-Nov,W45-2011,Computers & Tablets,North America,Retail,Retail,370,842
Q4/2011,11-Nov,W45-2011,TV & Home Theatre,North America,Direct,Retail,36056,51464
Q4/2011,11-Nov,W45-2011,TV & Home Theatre,North America,Internet,Retail,96550,155037
Q4/2011,11-Nov,W45-2011,Cameras,North America,Direct,Retail,9447,20504
Q4/2011,11-Nov,W45-2011,Cameras,North America,Internet,Entertainment Venues,15242,7656
Q4/2011,11-Nov,W45-2011,Cameras,North America,Internet,Retail,1722,2150
Q4/2011,11-Nov,W45-2011,Cameras,North America,Internet,Internet Direct,23667,15472
Q4/2011,11-Nov,W45-2011,Mobile,North America,Direct,Entertainment Venues,5157,3857
Q4/2011,11-Nov,W45-2011,Mobile,North America,Internet,Entertainment Venues,6170,3218
Q4/2011,11-Nov,W45-2011,Mobile,North America,Internet,Retail,17261,23917
Q4/2011,11-Nov,W45-2011,Office Supplies,North America,Direct,Entertainment Venues,1544,552
Q4/2011,11-Nov,W45-2011,Office Supplies,North America,Direct,Internet Direct,3990,1349
Q4/2011,11-Nov,W45-2011,Office Supplies,North America,Internet,Entertainment Venues,9349,3665
Q4/2011,11-Nov,W45-2011,Repairs,North America,Direct,Entertainment Venues,5657,2620
Q4/2011,11-Nov,W45-2011,Repairs,North America,Internet,Internet Direct,14478,2803
Q4/2011,11-Nov,W45-2011,Repairs,North America,Retail,Entertainment Venues,10000,5495
Q4/2011,11-Nov,W45-2011,Portable Electronics,North America,Direct,Entertainment Venues,8201,5793
Q4/2011,11-Nov,W45-2011,Portable Electronics,North America,Direct,Retail,23197,33361
Q4/2011,11-Nov,W45-2011,Portable Electronics,North America,Internet,Entertainment Venues,353,256
Q4/2011,11-Nov,W45-2011,Portable Electronics,North America,Retail,Entertainment Venues,6800,7828
Q4/2011,11-Nov,W45-2011,Portable Electronics,North America,Retail,Retail,950,2000
Q4/2011,11-Nov,W46-2011,Computers & Tablets,North America,Direct,Branded Stores,28578,59494
Q4/2011,11-Nov,W46-2011,Computers & Tablets,North America,Retail,Internet Direct,51777,41500
Q4/2011,11-Nov,W46-2011,TV & Home Theatre,North America,Direct,Retail,17249,33809
Q4/2011,11-Nov,W46-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,3287,1885
Q4/2011,11-Nov,W46-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,1373,1284
Q4/2011,11-Nov,W46-2011,Cameras,North America,Direct,Entertainment Venues,560,577
Q4/2011,11-Nov,W46-2011,Cameras,North America,Internet,Entertainment Venues,4490,2589
Q4/2011,11-Nov,W46-2011,Cameras,North America,Internet,Internet Direct,82400,33094
Q4/2011,11-Nov,W46-2011,Mobile,North America,Direct,Entertainment Venues,5589,4287
Q4/2011,11-Nov,W46-2011,Mobile,North America,Direct,Branded Stores,4385,4103
Q4/2011,11-Nov,W46-2011,Mobile,North America,Direct,Internet Direct,5389,2318
Q4/2011,11-Nov,W46-2011,Mobile,North America,Internet,Entertainment Venues,6325,3751
Q4/2011,11-Nov,W46-2011,Mobile,North America,Retail,Entertainment Venues,20020,19920
Q4/2011,11-Nov,W46-2011,Mobile,North America,Retail,Retail,1401,3227
Q4/2011,11-Nov,W46-2011,Office Supplies,North America,Direct,Entertainment Venues,433,226
Q4/2011,11-Nov,W46-2011,Office Supplies,North America,Direct,Retail,6321,6082
Q4/2011,11-Nov,W46-2011,Office Supplies,North America,Internet,Branded Stores,1954,1320
Q4/2011,11-Nov,W46-2011,Office Supplies,North America,Internet,Retail,3589,2912
Q4/2011,11-Nov,W46-2011,Office Supplies,North America,Retail,Entertainment Venues,1401,687
Q4/2011,11-Nov,W46-2011,Office Supplies,North America,Retail,Branded Stores,164,185
Q4/2011,11-Nov,W46-2011,Repairs,North America,Internet,Branded Stores,22339,9323
Q4/2011,11-Nov,W46-2011,Portable Electronics,North America,Direct,Entertainment Venues,5155,3244
Q4/2011,11-Nov,W46-2011,Portable Electronics,North America,Direct,Branded Stores,1707,2222
Q4/2011,11-Nov,W47-2011,Computers & Tablets,North America,Direct,Entertainment Venues,3253,5167
Q4/2011,11-Nov,W47-2011,Computers & Tablets,North America,Direct,Branded Stores,18031,36678
Q4/2011,11-Nov,W47-2011,Computers & Tablets,North America,Direct,Retail,358,705
Q4/2011,11-Nov,W47-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,11417,11383
Q4/2011,11-Nov,W47-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,2892,2054
Q4/2011,11-Nov,W47-2011,Cameras,North America,Direct,Internet Direct,35381,19217
Q4/2011,11-Nov,W47-2011,Mobile,North America,Direct,Entertainment Venues,1852,1655
Q4/2011,11-Nov,W47-2011,Mobile,North America,Direct,Retail,3233,4987
Q4/2011,11-Nov,W47-2011,Mobile,North America,Retail,Entertainment Venues,755,943
Q4/2011,11-Nov,W47-2011,Mobile,North America,Retail,Retail,7734,16938
Q4/2011,11-Nov,W47-2011,Office Supplies,North America,Direct,Entertainment Venues,14637,9852
Q4/2011,11-Nov,W47-2011,Office Supplies,North America,Direct,Retail,13291,13990
Q4/2011,11-Nov,W47-2011,Office Supplies,North America,Internet,Retail,1850,1621
Q4/2011,11-Nov,W47-2011,Office Supplies,North America,Retail,Entertainment Venues,10854,7996
Q4/2011,11-Nov,W47-2011,Office Supplies,North America,Retail,Retail,2106,4105
Q4/2011,11-Nov,W47-2011,Portable Electronics,North America,Direct,Entertainment Venues,6588,5131
Q4/2011,11-Nov,W47-2011,Portable Electronics,North America,Internet,Entertainment Venues,2014,968
Q4/2011,11-Nov,W47-2011,Portable Electronics,North America,Internet,Retail,17531,16928
Q4/2011,11-Nov,W47-2011,Portable Electronics,North America,Internet,Internet Direct,44951,18054
Q4/2011,11-Nov,W47-2011,Portable Electronics,North America,Retail,Entertainment Venues,5895,6827
Q4/2011,11-Nov,W47-2011,Portable Electronics,North America,Retail,Branded Stores,8688,13104
Q4/2011,11-Nov,W47-2011,Portable Electronics,North America,Retail,Internet Direct,20110,13995
Q4/2011,11-Nov,W48-2011,Computers & Tablets,North America,Direct,Entertainment Venues,194,223
Q4/2011,11-Nov,W48-2011,Computers & Tablets,North America,Direct,Internet Direct,16748,13541
Q4/2011,11-Nov,W48-2011,Computers & Tablets,North America,Internet,Entertainment Venues,1912,1053
Q4/2011,11-Nov,W48-2011,Computers & Tablets,North America,Retail,Retail,35430,62701
Q4/2011,11-Nov,W48-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,5043,4590
Q4/2011,11-Nov,W48-2011,Cameras,North America,Direct,Entertainment Venues,14777,13156
Q4/2011,11-Nov,W48-2011,Cameras,North America,Direct,Retail,11149,26393
Q4/2011,11-Nov,W48-2011,Cameras,North America,Direct,Internet Direct,11273,7259
Q4/2011,11-Nov,W48-2011,Cameras,North America,Internet,Entertainment Venues,8792,7977
Q4/2011,11-Nov,W48-2011,Cameras,North America,Internet,Branded Stores,16887,12703
Q4/2011,11-Nov,W48-2011,Mobile,North America,Direct,Entertainment Venues,1578,1178
Q4/2011,11-Nov,W48-2011,Mobile,North America,Direct,Retail,2367,4054
Q4/2011,11-Nov,W48-2011,Mobile,North America,Internet,Retail,3629,4992
Q4/2011,11-Nov,W48-2011,Mobile,North America,Retail,Retail,1291,2750
Q4/2011,11-Nov,W48-2011,Mobile,North America,Retail,Internet Direct,3285,2941
Q4/2011,11-Nov,W48-2011,Office Supplies,North America,Direct,Entertainment Venues,2028,1109
Q4/2011,11-Nov,W48-2011,Office Supplies,North America,Internet,Entertainment Venues,11691,4550
Q4/2011,11-Nov,W48-2011,Office Supplies,North America,Internet,Branded Stores,621,410
Q4/2011,11-Nov,W48-2011,Office Supplies,North America,Internet,Retail,20133,20833
Q4/2011,11-Nov,W48-2011,Office Supplies,North America,Retail,Entertainment Venues,170,123
Q4/2011,11-Nov,W48-2011,Office Supplies,North America,Retail,Branded Stores,776,755
Q4/2011,11-Nov,W48-2011,Repairs,North America,Direct,Retail,24678,22916
Q4/2011,11-Nov,W48-2011,Repairs,North America,Retail,Retail,53165,64068
Q4/2011,11-Nov,W48-2011,Portable Electronics,North America,Direct,Entertainment Venues,932,749
Q4/2011,11-Nov,W48-2011,Portable Electronics,North America,Internet,Entertainment Venues,17869,10006
Q4/2011,11-Nov,W48-2011,Portable Electronics,North America,Internet,Retail,19722,14242
Q4/2011,11-Nov,W48-2011,Portable Electronics,North America,Retail,Entertainment Venues,695,606
Q4/2011,11-Nov,W48-2011,Portable Electronics,North America,Retail,Branded Stores,4333,5724
Q4/2011,11-Nov,W49-2011,Computers & Tablets,North America,Internet,Entertainment Venues,7132,6271
Q4/2011,11-Nov,W49-2011,Computers & Tablets,North America,Internet,Branded Stores,31061,40437
Q4/2011,11-Nov,W49-2011,Computers & Tablets,North America,Retail,Entertainment Venues,22298,31118
Q4/2011,11-Nov,W49-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,17371,14235
Q4/2011,11-Nov,W49-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,4468,2948
Q4/2011,11-Nov,W49-2011,Cameras,North America,Retail,Internet Direct,4993,5838
Q4/2011,11-Nov,W49-2011,Mobile,North America,Retail,Retail,4685,6951
Q4/2011,11-Nov,W49-2011,Office Supplies,North America,Direct,Entertainment Venues,1587,1192
Q4/2011,11-Nov,W49-2011,Office Supplies,North America,Direct,Branded Stores,8170,6817
Q4/2011,11-Nov,W49-2011,Office Supplies,North America,Internet,Entertainment Venues,6616,3185
Q4/2011,11-Nov,W49-2011,Office Supplies,North America,Internet,Retail,3796,2710
Q4/2011,11-Nov,W49-2011,Portable Electronics,North America,Internet,Entertainment Venues,35616,22663
Q4/2011,11-Nov,W49-2011,Portable Electronics,North America,Internet,Retail,138,147
Q4/2011,11-Dec,W49-2011,Computers & Tablets,North America,Direct,Entertainment Venues,3172,4757
Q4/2011,11-Dec,W49-2011,Computers & Tablets,North America,Direct,Retail,6644,19188
Q4/2011,11-Dec,W49-2011,Computers & Tablets,North America,Retail,Entertainment Venues,563,595
Q4/2011,11-Dec,W49-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,3590,2636
Q4/2011,11-Dec,W49-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,486,779
Q4/2011,11-Dec,W49-2011,Cameras,North America,Retail,Entertainment Venues,348,598
Q4/2011,11-Dec,W49-2011,Cameras,North America,Retail,Retail,1210,3865
Q4/2011,11-Dec,W49-2011,Mobile,North America,Internet,Entertainment Venues,1692,1296
Q4/2011,11-Dec,W49-2011,Office Supplies,North America,Direct,Entertainment Venues,1129,624
Q4/2011,11-Dec,W49-2011,Office Supplies,North America,Direct,Retail,372,541
Q4/2011,11-Dec,W49-2011,Office Supplies,North America,Internet,Branded Stores,7020,2867
Q4/2011,11-Dec,W49-2011,Portable Electronics,North America,Retail,Internet Direct,24279,16466
Q4/2011,11-Dec,W50-2011,Computers & Tablets,North America,Direct,Entertainment Venues,9465,14620
Q4/2011,11-Dec,W50-2011,Computers & Tablets,North America,Direct,Retail,6431,18554
Q4/2011,11-Dec,W50-2011,Computers & Tablets,North America,Direct,Internet Direct,12352,14167
Q4/2011,11-Dec,W50-2011,Computers & Tablets,North America,Internet,Entertainment Venues,1011,806
Q4/2011,11-Dec,W50-2011,Computers & Tablets,North America,Internet,Retail,2048,2911
Q4/2011,11-Dec,W50-2011,Cameras,North America,Direct,Retail,5287,11145
Q4/2011,11-Dec,W50-2011,Cameras,North America,Internet,Entertainment Venues,168,140
Q4/2011,11-Dec,W50-2011,Cameras,North America,Internet,Branded Stores,2428,2598
Q4/2011,11-Dec,W50-2011,Cameras,North America,Internet,Retail,21470,44029
Q4/2011,11-Dec,W50-2011,Mobile,North America,Direct,Entertainment Venues,2301,2205
Q4/2011,11-Dec,W50-2011,Mobile,North America,Direct,Retail,960,2037
Q4/2011,11-Dec,W50-2011,Mobile,North America,Direct,Internet Direct,3748,1886
Q4/2011,11-Dec,W50-2011,Mobile,North America,Internet,Retail,1105,1469
Q4/2011,11-Dec,W50-2011,Mobile,North America,Internet,Internet Direct,11530,4235
Q4/2011,11-Dec,W50-2011,Mobile,North America,Retail,Entertainment Venues,1566,2216
Q4/2011,11-Dec,W50-2011,Mobile,North America,Retail,Internet Direct,54545,35471
Q4/2011,11-Dec,W50-2011,Office Supplies,North America,Direct,Branded Stores,1180,986
Q4/2011,11-Dec,W50-2011,Office Supplies,North America,Direct,Retail,5845,6203
Q4/2011,11-Dec,W50-2011,Office Supplies,North America,Internet,Entertainment Venues,172,73
Q4/2011,11-Dec,W50-2011,Office Supplies,North America,Internet,Retail,3936,3486
Q4/2011,11-Dec,W50-2011,Repairs,North America,Direct,Entertainment Venues,8025,3423
Q4/2011,11-Dec,W50-2011,Repairs,North America,Retail,Entertainment Venues,2713,1604
Q4/2011,11-Dec,W50-2011,Portable Electronics,North America,Direct,Entertainment Venues,18868,15544
Q4/2011,11-Dec,W50-2011,Portable Electronics,North America,Internet,Branded Stores,3625,4452
Q4/2011,11-Dec,W50-2011,Portable Electronics,North America,Internet,Retail,171,228
Q4/2011,11-Dec,W50-2011,Portable Electronics,North America,Retail,Entertainment Venues,1726,2520
Q4/2011,11-Dec,W50-2011,Portable Electronics,North America,Retail,Retail,560,1685
Q4/2011,11-Dec,W51-2011,Computers & Tablets,North America,Direct,Entertainment Venues,5714,10366
Q4/2011,11-Dec,W51-2011,Computers & Tablets,North America,Internet,Retail,18216,39146
Q4/2011,11-Dec,W51-2011,Computers & Tablets,North America,Internet,Internet Direct,7500,3792
Q4/2011,11-Dec,W51-2011,Computers & Tablets,North America,Retail,Entertainment Venues,21338,25740
Q4/2011,11-Dec,W51-2011,TV & Home Theatre,North America,Direct,Internet Direct,32399,24161
Q4/2011,11-Dec,W51-2011,TV & Home Theatre,North America,Internet,Retail,22181,37610
Q4/2011,11-Dec,W51-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,9564,15888
Q4/2011,11-Dec,W51-2011,TV & Home Theatre,North America,Retail,Retail,1371,3355
Q4/2011,11-Dec,W51-2011,Cameras,North America,Direct,Branded Stores,24615,59476
Q4/2011,11-Dec,W51-2011,Cameras,North America,Retail,Entertainment Venues,14181,29756
Q4/2011,11-Dec,W51-2011,Mobile,North America,Direct,Entertainment Venues,2179,1803
